Prénom,Nom de famille,Numéro d’identification,Adresse de courriel,Groupes
BERNADETTE,BOUTIN,22247937,bernadette.boutin@unice.fr,G0
THIBAULT,JULIEN,22241793,thibault.julien@unice.fr,G1
XAVIER,DOS SANTOS-CARON,22244357,xavier.dos-santos-caron@unice.fr,G2
ZOÉ-CHARLOTTE,MERCIER,22165514,zoe-charlotte.mercier@unice.fr,G3
ÉDOUARD-THIERRY,AUBERT,22159372,edouard-thierry.aubert@unice.fr,G4
THÉODORE,LOMBARD,22252557,theodore.lombard@unice.fr,G5
ANAÏS,COLIN,22141465,anais.colin@unice.fr,G6
ALICE,BESSON,22109212,alice.besson@unice.fr,G7
LUCY,MARTINEAU,22131235,lucy.martineau@unice.fr,G8
BERNARD,DELANNOY,22258211,bernard.delannoy@unice.fr,G9
GILBERT,JOLY LE NAVARRO,22158013,gilbert.joly-le-navarro@unice.fr,G1
MICHELLE,LE BLOT,22277003,michelle.le-blot@unice.fr,G2
HENRI,GUILLOT-ROSSI,22269835,henri.guillot-rossi@unice.fr,G3
MARGUERITE,VAILLANT,22257039,marguerite.vaillant@unice.fr,G4
EMMANUEL-ÉMILE,GUICHARD,22225811,emmanuel-emile.guichard@unice.fr,G5
ALEXANDRE,GÉRARD,22232470,alexandre.gerard@unice.fr,G6
PATRICK,BLONDEL,22131607,patrick.blondel@unice.fr,G7
CHRISTINE,DA COSTA,22197144,christine.da-costa@unice.fr,G8
ALEXANDRIA-ANDRÉE,LEGRAND,22258588,alexandria-andree.legrand@unice.fr,G9
JOSETTE,DUPUY,22216099,josette.dupuy@unice.fr,G0
ÉLÉONORE,GRONDIN,22105004,eleonore.grondin@unice.fr,G1
CATHERINE,MOREL-ROUSSET,22164908,catherine.morel-rousset@unice.fr,G2
JACQUELINE,HARDY,22289324,jacqueline.hardy@unice.fr,G3
ÉRIC,DUMONT-DUPUIS,22255538,eric.dumont-dupuis@unice.fr,G4
GILBERT,LEROUX,22245323,gilbert.leroux@unice.fr,G5
JULES,LOPES DE LA IMBERT,22107084,jules.lopes-de-la-imbert@unice.fr,G6
GILLES,NORMAND,22111701,gilles.normand@unice.fr,G7
