Prénom,Nom de famille,Numéro d’identification,Adresse de courriel,Groupes
BERNADETTE,BOUTIN,22247937,bernadette.boutin@unice.fr,G0
THIBAULT,JULIEN,22241793,thibault.julien@unice.fr,G1
XAVIER,DOS SANTOS-CARON,22244357,xavier.dos-santos-caron@unice.fr,G2
ZOÉ-CHARLOTTE,MERCIER,22165514,zoe-charlotte.mercier@unice.fr,G3
ÉDOUARD-THIERRY,AUBERT,22159372,edouard-thierry.aubert@unice.fr,G4
THÉODORE,LOMBARD,22252557,theodore.lombard@unice.fr,G5
ANAÏS,COLIN,22141465,anais.colin@unice.fr,G6
ALICE,BESSON,22109212,alice.besson@unice.fr,G7
LUCY,MARTINEAU,22131235,lucy.martineau@unice.fr,G8
MARYSE,LE GOFF,22208036,maryse.le-goff@unice.fr,G0
